text,fitness,human_prob,predicted_class
"The November miasma which pursued me from the mews was at length vanquished by the sepulchral chill of Lord Harrington’s study. Though I am not unacquainted with morbid spectacles, I apprehended at once that this particular scene was destined to be etched upon my memory. All within was of a pristine order: the desk unmarred, the man himself reposing with a placid mien, a sanguine rose yet clasped in his hand. The coroner professed his bewilderment, for there was neither violent ingress nor any perceptible agent of demise; it was as though the gentleman had willed his own cessation. My eye, however, was arrested by the casement window, bolted securely from within. Upon its glass was a tracery of rime, a filigree of such preternatural complexity it resembled a maker’s mark—a sublime, glacial signature, whose artisan I harbored the conviction had but lately taken his leave.",1.1402031,0.99020314,Human
"Even now, the stillness of Lord Harrington’s library is what I remember most. Outside, the damp rot of November was seeping into the Mayfair mews, but inside was a portrait of impossible peace. Harrington sits forever in his wingback, delicately holding a single damask rose. The coroner’s report will later state no struggle, no cause—useless then, useless now.

My eyes, however, always return to the window. Bolted from within, its glass was etched with an intricate filigree of frost, a chilling signature on a mild autumn day. A ghost had left its calling card, and I was the man sent to interview it.",0.5534773,0.40347728,AI
"Even now, the stillness of Lord Harrington’s library is what I remember most. Outside, the damp rot of November was seeping into the Mayfair mews, but inside was a portrait of impossible peace. Harrington sits forever in his wingback, delicately holding a single damask rose. The coroner’s report will later state no struggle, no cause—useless then, useless now.

My eyes, however, always return to the window. Bolted from within, its glass was etched with an intricate filigree of frost, a chilling signature on a mild autumn day. A ghost had left its calling card, and I was the man sent to interview it.",0.5534773,0.40347728,AI
"Stillness. It fills Lord Harrington’s library even now, a pocket of impossible peace sealed away from the November damp. Harrington remains in his wingback, a single damask rose held delicately in his hand. I remember reading the coroner's report; it was useless. No struggle. No cause.

My eyes, however, keep returning to the window. Bolted from within, its glass bears an intricate filigree of frost—a chilling signature left on what was a mild autumn day. I now understand that a ghost has left its calling card, and I am the man who has been sent to interview it.",0.46339437,0.34339437,AI
"Stillness. That is what I remember most about Lord Harrington’s library, a pocket of impossible peace sealed away from the damp November rot seeping through the Mayfair mews. Harrington sat forever in his wingback, a single damask rose held delicately in his hand. The coroner’s report was useless. No struggle. No cause.

My eyes, however, always returned to the window. Bolted from within, its glass bore an intricate filigree of frost—a chilling signature left on a mild autumn day. A ghost had left its calling card. I was the man sent to interview it.",0.4614275,0.3414275,AI
"The November miasma pursued me from the mews, an insidious dampness vanquished by the sepulchral chill of Lord Harrington's study. I am no stranger to morbid spectacles, yet this one promised to etch itself upon my memory. All within was pristine: the unmarred desk, the man himself possessed of a placid mien in his wingback chair, a sanguine rose clasped in his hand. The coroner confessed his bewilderment—no violent ingress, no perceptible agent of demise. It was as if the man had willed his own cessation. My eye, however, was arrested by the casement window. Bolted from within, its glass was inscribed with a tracery of rime, a filigree of such preternatural complexity it resembled a maker’s mark. A sublime, glacial signature; I harbored the disquieting conviction its artisan had but lately taken leave.",0.23367588,0.08367588,AI
"Even now, what I remember most is the stillness of Lord Harrington’s library, a portrait of impossible peace set against the damp November rot seeping into the mews outside. Harrington sits forever in his wingback, delicately holding a single damask rose. The coroner’s report would later state no struggle, no cause, proving as useless then as it is now.

With the official report offering nothing, my eyes always return to the window. Bolted from within, its glass was etched with an intricate filigree of frost—a chilling signature on an otherwise mild autumn day. It was as if a ghost had left its calling card, and I was the man sent to interview it.",0.20182934,0.05182934,AI
"Even now, years later, the stillness is what I recall. Lord Harrington’s library will always be a pocket of impossible peace, sealed from the November damp. In my memory, Harrington sits eternally in his wingback, a single damask rose held delicately in his hand. The coroner’s report offered nothing: no struggle, no cause.

But my gaze drifts again, as it always does, to the window. It was bolted from within, its glass bearing that intricate filigree of frost—a chilling signature left on a mild autumn day. A ghost had left its calling card, and I was the man sent to interview it.",0.18899925,0.038999252,AI
"To this day, the profound quiescence of Lord Harrington’s study is what remains foremost in my memory. Without, the miasma of November’s putrescence permeated the Mayfair mews, yet within was a tableau of preternatural tranquility. Harrington is eternally poised in his wingback, his fingers cradling a solitary damask rose. The chirurgeon’s inquest would subsequently declare an absence of struggle and a want of discernible cause—a pronouncement as impotent then as it remains today.

My own gaze, however, is invariably drawn back to the casement. Bolted from the interior, its panes were limned with an intricate filigree of rime, a spectral imprimatur upon a day otherwise clement. Some phantasm had tendered its card, and mine was the charge to solicit its testimony.",0.17587385,0.025873844,AI
"The November miasma, smelling of wet wool and coal smoke, pursued me from the mews. It was vanquished by the sepulchral chill of Lord Harrington's study—a dry, airless cold that raised the hairs on my arms. The room was a tomb of silence, thick with the scent of beeswax and old paper. All was pristine: the vast, mirror-polished desk; the man himself, waxy and still in his oxblood leather chair, a sanguine rose clasped in his hand, its velvety petals a shocking slash of life. My eye, however, was arrested by the casement window. Bolted from within, its glass was inscribed with a tracery of rime, a crystalline lacework of such preternatural complexity it seemed to hum with cold. A sublime, glacial signature; I felt the disquieting conviction its artisan had but lately taken leave.",0.15365335,0.0036533563,AI
