rank,text,fitness,human_prob,ai_prob,predicted_class,word_count
1,"The deck of *The Albatross* afforded a spectacle of earnest labour, inasmuch as our good vessel did cleave the cerulean main, ever in pursuit of that distant verge which held the promise of undiscovered shores. The sun bore down with great force upon the timbers, and the salt-taste of the sea did perpetually linger on the tongue. Howsoever, the ocean’s tranquil countenance was altered with frightful celerity. The firmament did wax a baleful purple, whereupon a tempest descended, rendering the sea a very vortex of mountainous billows. Forthwith, every soul aboard applied himself to the task—heaving upon the lines with raw palms and wrestling against the great wheel. When the dawn at length did break, the squall at last abated, leaving in its wake a sea made placid and much humbled. Sorely wearied, yet withal triumphant, a profound awe took hold of our company; for we had beheld Nature’s sovereign fury, and had prevailed.",1.0521817,0.9321818,0.06781819,Human,154
2,"The deck of *The Albatross* presented a scene of great industry, forasmuch as our good ship cleft the cerulean main, ever seeking that distant verge which held the promise of newfound shores. The sun bore heavily upon the timbers, and the briny tang of the sea did ever linger upon the tongue. Howsoever, the ocean’s tranquil countenance was altered with fearsome alacrity. The firmament did wax a malevolent purple, whereupon a great gale descended, rendering the sea a maelstrom of mountainous billows. Every soul aboard forthwith toiled with one accord—heaving upon the lines with flayed palms and battling the great wheel. When the dawn at length did break, the squall subsided, leaving in its wake a sea made placid and humble. Fatigued, yet withal triumphant, a profound awe took hold of us; for we had looked upon Nature’s full wrath, and had prevailed.",0.6511942,0.5011942,0.49880585,Human,143
3,"The deck of *The Albatross* presented a scene of great industry, for we plied the azure waves, bent upon a horizon that promised undiscovered lands. The sun beat down fiercely upon the timbers, whilst the perpetual savor of salt remained a bracing companion. Nevertheless, the ocean’s countenance altered with terrible swiftness. The heavens bruised to a malevolent purple, whereupon a great gale descended, rendering the sea a tumultuous cauldron. Every soul on board labored with frantic urgency—hauling at ropes with raw palms and setting himself against the vessel’s violent pitching. When at length daybreak arrived, the tempest subsided, leaving in its wake a sea made placid and humble. Exhausted but triumphant, we beheld a company of dolphins cresting in the nascent light, and were seized by that profound reverence known only to men who have striven against nature’s wrath and endured.",0.3473822,0.19738217,0.8026178,AI,141
4,"Upon the decks of *The Albatross*, there was unceasing toil as our barque cleaved the cerulean expanse, ever in quest of a horizon promising terra incognita. The diurnal orb blazed upon her timbers, and the acrid savour of brine was a perennial presence; howsoever, this placid disposition was transmuted with frightful celerity. The firmament bruised to a malevolent indigo, whereupon a furious squall descended, rendering the sea a seething maelstrom of leviathan swells. Every soul laboured in desperate, brine-drenched unison, heaving upon cordage with flayed palms. Ere aurora’s advent, the tempest at last abated, leaving the sea made vitreous and humble. Though utterly spent, we were seized by a sublime reverence, for we had withstood the plenitude of nature’s wrath and emerged victorious.",0.22322808,0.073228076,0.926772,AI,123
5,"As our good ship *The Albatross* cleft the cerulean main—ever seeking that distant verge which held the promise of newfound shores—a scene of great industry unfolded upon its sun-scorched timbers, the briny tang of the sea a constant presence. This tranquil countenance, however, was altered with fearsome alacrity; the firmament waxed a malevolent purple as a great gale descended, rendering the sea a maelstrom of mountainous billows that compelled every soul aboard to toil with one accord. When the dawn at length broke, the squall subsided, leaving in its wake a sea made placid and humble. Fatigued, yet withal triumphant, a profound awe took hold of us; for we had looked upon Nature’s full wrath and, against all odds, had prevailed.",0.1822508,0.0322508,0.96774924,AI,121
6,"The deck of *The Albatross* was a theatre of unremitting exertion as our barque cleaved the cerulean expanse, ever questing for a horizon that promised terra incognita. The diurnal orb blazed upon the timbers, and the acrid savour of brine was a perennial presence upon the tongue. Yet, the ocean’s placid disposition was transmuted with terrifying celerity. The firmament contused to a malevolent indigo, and a furious squall descended, rendering the sea a seething maelstrom of leviathan swells. Every soul toiled in desperate, brine-drenched unison—heaving upon cordage with flayed palms and wresting control of the great helm. At aurora’s advent, the tempest subsided, leaving a sea made vitreous and humble. Fatigued but exultant, we were seized by a sublime reverence, having withstood the plenitude of nature’s wrath and prevailed.",0.1523293,0.0023292946,0.9976707,AI,129
7,"The deck of *The Albatross* was alive with industry as we plied the azure waves, in pursuit of a horizon that promised uncharted isles. The sun’s heat fell fiercely upon the timbers, whilst the perpetual tang of salt remained an invigorating companion. Yet, the ocean’s temperament shifted with fearsome suddenness. The heavens bruised to a malevolent purple, and a great gale descended, rendering the sea a tumultuous cauldron of monstrous waves. Every soul on board toiled in desperate haste—hauling at lines with raw palms and bracing against the vessel’s violent lurching. When at length the dawn broke, the tempest abated, leaving behind a sea made glassy and humble. Weary yet triumphant, we beheld a company of dolphins cresting in the new light, filled with that profound awe known only to those who have contended with nature’s fury and endured.",0.1519418,0.0019418113,0.99805814,AI,139
8,"The deck of *The Albatross* was alive with industry as we plied the azure waves, in pursuit of a horizon that promised uncharted isles. The sun’s heat fell fiercely upon the timbers, whilst the perpetual tang of salt remained an invigorating companion. Yet, the ocean’s temperament shifted with fearsome suddenness. The heavens bruised to a malevolent purple, and a great gale descended, rendering the sea a tumultuous cauldron of monstrous waves. Every soul on board toiled in desperate haste—hauling at lines with raw palms and bracing against the vessel’s violent lurching. When at length the dawn broke, the tempest abated, leaving behind a sea made glassy and humble. Weary yet triumphant, we beheld a company of dolphins cresting in the new light, filled with that profound awe known only to those who have contended with nature’s fury and endured.",0.1519418,0.0019418113,0.99805814,AI,139
9,"The deck of *The Albatross* was alive with industry as we plied the azure waves, pursuing a horizon that promised uncharted isles. While the sun’s heat fell fiercely upon the timbers and the salt tang invigorated us, the ocean’s temperament shifted with fearsome suddenness. The heavens bruised to a malevolent purple once a great gale descended, turning the sea into a tumultuous cauldron of monstrous waves. Every soul on board toiled in desperate haste; they hauled at lines with raw palms and braced against the vessel’s violent lurching. Dawn finally broke to find the tempest abated, leaving a sea made glassy and humble. We stood weary but triumphant, watching a company of dolphins crest in the new light, filled with that profound awe that comes only from contending with nature’s fury and enduring.",0.15062703,0.00062702317,0.999373,AI,133
10,"An unnatural stillness had first fallen upon *The Albatross*, a silence so profound it seemed a shroud laid over the world. The sun, a pallid disc, offered no warmth. Then, without warning, the heavens contused to a sepulchral violet, and a shrieking squall descended like a vengeful spirit. The sea became a liquid abyss, its mountainous swells clawing at our groaning timbers as if to drag us to some unhallowed grave. We toiled like damned souls against the gale’s lament. When the wan dawn finally broke upon a sea of black glass, a chilling question remained. We had not conquered the tempest; we had merely survived its passing notice. And I felt its gaze still upon us, waiting.",0.15047516,0.00047515743,0.99952483,AI,118
