class_label,topic,author_target,text,prompt_used,meta_tone,meta_constraint,model_used
class_3,The Duality of Human Nature,Robert Louis Stevenson,"I have come to perceive in my fellow creatures a most profound and disquieting division. I have observed a man, known for his pious charity and sober countenance, betray in an unguarded moment a flicker of something altogether alien—a glint of the brute, a shadow of some primordial fiend that dwells in the dark abyss of the soul. It is as if the respectable vesture of our civility is but a thin curtain drawn across a cage. The man of good conscience walks the street by day; another, a phantom of base impulse and secret appetite, waits for the fall of night to claim his turn upon the stage. This wretched duality haunts us all, and I have begun to wonder which of these two selves is the more authentic, and which is merely the prisoner of the other.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Mysterious. Perspective: First-person observer. Constraint: Use at least one semicolon to connect independent clauses. Length: 100-200 words.
Output only the text.",Mysterious,Use at least one semicolon to connect independent clauses.,gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"Let the petty ghouls, then, in their midnight industry, disturb the quiet soil, for their labour is the very height of folly. They seek to capture a man where he is not, fancying that a soul can be held by the crumbling tenement of its former life. But they might as well attempt to chain the wind or pocket the sunlight. The true essence of a life is like a great and steadfast tree; the body is but a single leaf that has fallen in its season to enrich the earth. The ruffian who tramples that leaf under his muddy boot does no injury to the mighty trunk, nor can he halt for a moment the glorious and inevitable budding of the next spring, where memory and influence take on their fresh and verdant form.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Optimistic and bright. Perspective: Third-person omniscient. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Optimistic and bright,Use a metaphor involving nature.,gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"I have watched the men of science, with their charts and their cold reason. They fancy they can weigh the soul itself on their brass scales. They map every shadow and declare the great darkness conquered. What they cannot dissect, they call delusion; a poor trick of a fevered mind. Then you have the other sort, the pedlars of whispers and spectral nonsense. They find a ghost in every creaking floorboard and a portent in every stray wind. Each is a fanatic in his own chapel. The man of logic scoffs at the chill that runs up his own spine. The spiritualist mistakes a rat in the wainscot for a message from the beyond. I stand between them, and I trust neither. They are but two different species of charlatan, selling a tidy explanation for the same untidy dread.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Cynical. Perspective: First-person observer. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Cynical,Keep sentences relatively short and punchy.,gemini-pro-latest
class_3,The Terror of the Sea,Robert Louis Stevenson,"I was upon the quarter-deck, observing the singular tranquillity of the evening, when the creature first made its appearance, a prodigious mass of glistening, dark flesh that rose from the depths without so much as a ripple to herald its coming. It was of a magnitude that beggared all description, a living island of such horrifying aspect that even our most seasoned sailors fell into a dumbstruck silence, their weathered countenances pale in the fading light. No sound proceeded from its colossal frame; the very ocean seemed to fall silent in its passage, the waves themselves hushed into a glassy stillness. We were not a target of its malice, merely an insignificant witness to its journey, and in its ancient, indifferent gaze I comprehended for the first time that the true terror of the sea lies not in its storms or its furies, but in the dreadful, living secrets it so casually conceals within its abyss.","Write a paragraph about 'The Terror of the Sea' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Formal and academic. Perspective: First-person observer. Constraint: Use at least one semicolon to connect independent clauses. Length: 100-200 words.
Output only the text.",Formal and academic,Use at least one semicolon to connect independent clauses.,gemini-pro-latest
class_3,Folklore & Superstition,Robert Louis Stevenson,"In the minds of those reared in the old fashion, folklore was never a thing apart, a collection of tales for the winter hearth, but was instead a portion of the very weather of the soul. These beliefs, the whispers of spirits in the gloaming and the half-seen terrors of the churchyard, were like the deep loam of an ancient forest, compounded of the decay of a thousand forgotten seasons. From this dark and fertile ground, all of a man’s first notions of the world sprang up, coloured by its particular nature; and though he might in later years turn his face to the cold, clear light of reason, he could never wholly shake from his boots the scent of that rich, ancestral earth, which clung to him as a reminder of the shadows from which he was grown.","Write a paragraph about 'Folklore & Superstition' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Reflective and nostalgic. Perspective: Third-person omniscient. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Reflective and nostalgic,Use a metaphor involving nature.,gemini-pro-latest
class_3,The Duality of Human Nature,Robert Louis Stevenson,"For what is a man, if not a city of warring opposites, a single consciousness tenanted by two irreconcilable spirits? He had begun to suspect as much, to see in the most placid of countenances the faint, unsettling tremor of a second, baser nature struggling for release. It was a fleeting thing, this glimpse into the abyss—a sudden, feral sharpness in a friend’s eye, a shadow of malice passing over a familiar smile like a cloud across the moon. And once seen, it could not be forgotten. The respectable façade of society seemed to him henceforth a fragile and precarious masquerade, and he found himself peering into the faces of his fellows not for companionship, but for the tell-tale seam where the virtuous man ended and the fiend within began its patient, dreadful watch.","Write a paragraph about 'The Duality of Human Nature' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Mysterious. Perspective: Third-person limited. Constraint: Start the paragraph with a rhetorical question. Length: 100-200 words.
Output only the text.",Mysterious,Start the paragraph with a rhetorical question.,gemini-pro-latest
class_3,The Violation of the Dead,Robert Louis Stevenson,"There is a certain quiet sanctity in the final slumber, a thing I once held as inviolable as the turning of the seasons. To disturb one long departed is not merely an act of base curiosity; it is a trespass against the natural order of things. For the dead are much like the fallen timber of an ancient wood: they have given their height and their shade, and now lie still, returning slowly to the earth from whence they came, their memory nourishing the soil for those who are to follow. But to see them wrenched from this final, hallowed purpose—to have their peace shattered for some fleeting gain or morbid fancy—is to witness the felling of the whole forest for a single, worthless splinter. It is an act that leaves the ground barren and the air colder, and we who are left behind are made the poorer for it, standing amidst the wreckage of a reverence we had foolishly thought immortal.","Write a paragraph about 'The Violation of the Dead' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Reflective and nostalgic. Perspective: First-person observer. Constraint: Use a metaphor involving nature. Length: 100-200 words.
Output only the text.",Reflective and nostalgic,Use a metaphor involving nature.,gemini-pro-latest
class_3,Science vs. The Unexplained,Robert Louis Stevenson,"And what refuge is there for a man of sense, caught betwixt the clamorous certainty of the laboratory and the whispering nonsense of the séance? He had long since wearied of those frock-coated physicians who would reduce the whole grand and terrible pageant of existence to a matter of levers and vials, and dismiss all that lay beyond their narrow comprehension with a condescending sniff. Yet what solace could be found in the company of gasping fools who mistook a simple draught for a phantom, or the fever-dreams of a dying man for a glimpse of the empyrean? No, he felt himself adrift in a grey and godless sea between two equally desolate shores, one of sterile fact and the other of hysterical fancy, with the grim truth being that both were but different brands of the same essential and tiresome blindness.","Write a paragraph about 'Science vs. The Unexplained' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Cynical. Perspective: Third-person limited. Constraint: Start the paragraph with a rhetorical question. Length: 100-200 words.
Output only the text.",Cynical,Start the paragraph with a rhetorical question.,gemini-pro-latest
class_3,The Terror of the Sea,Robert Louis Stevenson,"The entire world was a shriek of wind in the rigging and the cannon-boom of waves that struck the hull like a battering ram. He clung to the mast, the coarse rope burning his palms raw, as the ship was lifted upon some mountainous, foam-laced peak only to be cast down again into a fathomless black trough. The air, thick with the sting of brine and the foul reek of bilge-water, was torn asunder by a flash of lightning that revealed, for one horrifying instant, the true terror: an ocean that was not water, but a churning, malevolent beast of liquid night, its jaws wide to swallow them whole. The groan of the ship's timbers was the sound of its own bones breaking, and in that roar, all human cries were lost.","Write a paragraph about 'The Terror of the Sea' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Urgent and fast-paced. Perspective: Third-person limited. Constraint: Focus heavily on sensory details (sight, sound, smell). Length: 100-200 words.
Output only the text.",Urgent and fast-paced,"Focus heavily on sensory details (sight, sound, smell).",gemini-pro-latest
class_3,Folklore & Superstition,Robert Louis Stevenson,"The human mind is a singular vessel for credulity. It collects old fears as a ship’s hull collects barnacles. These growths are called superstitions; they are the phantoms of a racial memory, clinging with a strange tenacity. A black cat becomes an omen. Spilt salt foretells a tear to be shed. Such notions govern the actions of learned men and simple folk with equal tyranny. Education does little to dislodge them, for they are a private malady of the soul, passed from mother to child like a congenital flaw. The physician may scoff in public, yet he will not walk under a ladder. This folklore forms a second, invisible law, more ancient than any king’s decree and far more strictly observed. It is a persistent, quiet madness, common to all.","Write a paragraph about 'Folklore & Superstition' in the unique style of Robert Louis Stevenson.
Instructions: Tone: Clinical and detached. Perspective: Third-person omniscient. Constraint: Keep sentences relatively short and punchy. Length: 100-200 words.
Output only the text.",Clinical and detached,Keep sentences relatively short and punchy.,gemini-pro-latest
