text,true_label,predicted_label,ai_probability,original_label,is_fp,is_fn
"“The fish that you have tattooed immediately above your right wrist could only have been done in China. I have made a small study of tattoo marks and have even contributed to the literature of the subject. That trick of staining the fishes’ scales of a delicate pink is quite peculiar to China. When, in addition, I see a Chinese coin hanging from your watch-chain, the matter becomes even more simple.” Mr. Jabez Wilson laughed heavily. “Well, I never!” said he. “I thought at first that you had done something clever, but I see that there was nothing in it after all.”",0,0,1.1747917e-05,Human,False,False
"She had reached the outskirts of the city when she found the road blocked by a great drove of cattle, driven by a half-dozen wild-looking herdsmen from the plains. In her impatience she endeavoured to pass this obstacle by pushing her horse into what appeared to be a gap. Scarcely had she got fairly into it, however, before the beasts closed in behind her, and she found herself completely imbedded in the moving stream of fierce-eyed, long-horned bullocks. Accustomed as she was to deal with cattle, she was not alarmed at her situation, but took advantage of every opportunity to urge her horse on in the hopes of pushing her way through the cavalcade. Unfortunately the horns of one of the creatures, either by accident or design, came in violent contact with the flank of the mustang, and excited it to madness. In an instant it reared up upon its hind legs with a snort of rage, and pranced and tossed in a way that would have unseated any but a most skilful rider. The situation was full of peril. Every plunge of the excited horse brought it against the horns again, and goaded it to fresh madness. It was all that the girl could do to keep herself in the saddle, yet a slip would mean a terrible death under the hoofs of the unwieldy and terrified animals. Unaccustomed to sudden emergencies, her head began to swim, and her grip upon the bridle to relax. Choked by the rising cloud of dust and by the steam from the struggling creatures, she might have abandoned her efforts in despair, but for a kindly voice at her elbow which assured her of assistance. At the same moment a sinewy brown hand caught the frightened horse by the curb, and forcing a way through the drove, soon brought her to the outskirts.",0,0,8.599303e-05,Human,False,False
"“No, your boy had been observed, and that gave me a guide where to look.” “The old gentleman with the telescope, no doubt. I could not make it out when first I saw the light flashing upon the lens.” He rose and peeped into the hut. “Ha, I see that Cartwright has brought up some supplies. What’s this paper? So you have been to Coombe Tracey, have you?” “To see Mrs. Laura Lyons?” “Well done! Our researches have evidently been running on parallel lines, and when we unite our results I expect we shall have a fairly full knowledge of the case.”",0,0,6.358119e-06,Human,False,False
"“Oh, yes, I know that I have treated you real bad and that I should have spoken to you before I went; but I was kind of rattled, and from the time when I saw Frank here again I just didn’t know what I was doing or saying. I only wonder I didn’t fall down and do a faint right there before the altar.” “Perhaps, Mrs. Moulton, you would like my friend and me to leave the room while you explain this matter?” “If I may give an opinion,” remarked the strange gentleman, “we’ve had just a little too much secrecy over this business already. For my part, I should like all Europe and America to hear the rights of it.” He was a small, wiry, sunburnt man, clean-shaven, with a sharp face and alert manner.",0,0,1.5184958e-05,Human,False,False
"Vengeance from the past is a narrative trope wherein the central conflict is driven by a desire for retribution for a wrong committed long ago. This historical grievance, often buried or forgotten by the present-day characters, resurfaces to disrupt the established order. The agent of vengeance may be a survivor from the original event, a descendant seeking to settle a generational score, or even a supernatural force tied to the initial transgression. The target of this retribution is frequently not the original perpetrator but their family, organization, or community, forcing a new generation to confront the consequences of a history they did not create. As a storytelling device, this concept explores themes of cyclical violence, the inescapable nature of one's history, and the often-blurred line between justice and revenge. The core premise hinges on the idea that unresolved actions will inevitably find a way to exert their influence on the present.",1,1,0.99994314,AI_Generic,False,False
"The past does not rest quietly; it festers in the forgotten corners of memory, waiting for its moment to rise. Vengeance from the past is not a sudden storm but a slow, creeping fog that chills the bones and obscures the present. It begins as a whisper on the wind, a fleeting shadow in the periphery, the uncanny feeling of being watched by ghosts of one's own making. Old sins cast long, distorted silhouettes that dance on the walls of a once-peaceful home, turning familiar spaces into haunting reminders of a debt left unpaid. The laughter of loved ones sounds hollow, and every ticking clock becomes a countdown to an inevitable reckoning. It is a patient, inexorable force, a specter woven from regret and consequence, returning to claim its final, chilling due from a life built on a foundation of buried truths.",1,1,0.9999758,AI_Generic,False,False
"“Well done!” said Holmes in an encouraging voice. “Really, Gregson, you are getting along. We shall make something of you yet.” “I flatter myself that I have managed it rather neatly,” the detective answered proudly. “The young man volunteered a statement, in which he said that after following Drebber some time, the latter perceived him, and took a cab in order to get away from him. On his way home he met an old shipmate, and took a long walk with him. On being asked where this old shipmate lived, he was unable to give any satisfactory reply. I think the whole case fits together uncommonly well. What amuses me is to think of Lestrade, who had started off upon the wrong scent. I am afraid he won’t make much of it. Why, by Jove, here’s the very man himself!”",0,0,1.0067853e-05,Human,False,False
"For a minute I stood there with the paper in my hands thinking out the meaning of this curt message. It was I, then, and not Sir Henry, who was being dogged by this secret man. He had not followed me himself, but he had set an agent—the boy, perhaps—upon my track, and this was his report. Possibly I had taken no step since I had been upon the moor which had not been observed and reported. Always there was this feeling of an unseen force, a fine net drawn round us with infinite skill and delicacy, holding us so lightly that it was only at some supreme moment that one realised that one was indeed entangled in its meshes.",0,0,0.00039374563,Human,False,False
"“Well, gentlemen, I weary you with my long story, and I know that my friend Mr. Jones is impatient to get me safely stowed in chokey. I’ll make it as short as I can. The villain Sholto went off to India, but he never came back again. Captain Morstan showed me his name among a list of passengers in one of the mail-boats very shortly afterwards. His uncle had died, leaving him a fortune, and he had left the army, yet he could stoop to treat five men as he had treated us. Morstan went over to Agra shortly afterwards, and found, as we expected, that the treasure was indeed gone. The scoundrel had stolen it all, without carrying out one of the conditions on which we had sold him the secret. From that day I lived only for vengeance. I thought of it by day and I nursed it by night. It became an overpowering, absorbing passion with me. I cared nothing for the law,—nothing for the gallows. To escape, to track down Sholto, to have my hand upon his throat,—that was my one thought. Even the Agra treasure had come to be a smaller thing in my mind than the slaying of Sholto.",0,0,1.7017803e-05,Human,False,False
"“I will try. What is it?” “We shall be at the Copper Beeches by seven o’clock, my friend and I. The Rucastles will be gone by that time, and Toller will, we hope, be incapable. There only remains Mrs. Toller, who might give the alarm. If you could send her into the cellar on some errand, and then turn the key upon her, you would facilitate matters immensely.” “Excellent! We shall then look thoroughly into the affair. Of course there is only one feasible explanation. You have been brought there to personate someone, and the real person is imprisoned in this chamber. That is obvious. As to who this prisoner is, I have no doubt that it is the daughter, Miss Alice Rucastle, if I remember right, who was said to have gone to America. You were chosen, doubtless, as resembling her in height, figure, and the colour of your hair. Hers had been cut off, very possibly in some illness through which she has passed, and so, of course, yours had to be sacrificed also. By a curious chance you came upon her tresses. The man in the road was undoubtedly some friend of hers—possibly her _fiancé_—and no doubt, as you wore the girl’s dress and were so like her, he was convinced from your laughter, whenever he saw you, and afterwards from your gesture, that Miss Rucastle was perfectly happy, and that she no longer desired his attentions. The dog is let loose at night to prevent him from endeavouring to communicate with her. So much is fairly clear. The most serious point in the case is the disposition of the child.”",0,0,2.9228971e-05,Human,False,False
