strategy,attempts,successes,success_rate,avg_improvement,total_improvement
formality_increase,4,4,1.0,0.06720475852489471,0.26881903409957886
archaic_language_boost,2,2,1.0,0.45023873448371887,0.9004774689674377
vocabulary_elevation,2,1,0.5,5.799531936645508e-05,0.00011599063873291016
structural_complexity,3,1,0.3333333333333333,-0.1721552014350891,-0.5164656043052673
atmospheric_storytelling,6,1,0.16666666666666666,-0.000976433337200433,-0.00585860013961792
temporal_shift,0,0,0.0,0.0,0.0
narrative_voice,2,0,0.0,-0.04967379570007324,-0.09934759140014648
rhythm_variation,1,0,0.0,-0.00022362172603607178,-0.00022362172603607178
descriptive_enhancement,2,0,0.0,-0.025997288525104523,-0.051994577050209045
victorian_pattern_injection,0,0,0.0,0.0,0.0
transition_rework,2,0,0.0,-0.0006823018193244934,-0.0013646036386489868
